"Includes Amazon Marketplace, Fulfilment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in GBP, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, delivery, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes delivery chargebacks, delivery holdbacks."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","fulfilment","order city","order state","order postal","tax collection model","product sales","product sales tax","postage credits","shipping credits tax","gift wrap credits","giftwrap credits tax","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"1 Nov 2023 17:06:27 UTC","20767069272","Adjustment","206-3891715-6111507","2G-W2FT-V2F6","FBA Inventory Reimbursement - Customer Return","1","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","12.37","12.37"
"3 Nov 2023 20:18:14 UTC","20953658482","FBA Inventory Fee","231101X52","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0.42","-0.42"
"3 Nov 2023 20:18:14 UTC","20953658482","FBA Inventory Fee","231101X52","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0.42","-0.42"
"3 Nov 2023 20:18:24 UTC","20953658482","FBA Inventory Fee","231101X52","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0.42","-0.42"
"3 Nov 2023 20:18:37 UTC","20953658482","FBA Inventory Fee","231101X52","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0.42","-0.42"
"3 Nov 2023 20:19:12 UTC","20953658482","FBA Inventory Fee","231101X52","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-0.42","-0.42"
"6 Nov 2023 01:57:29 UTC","20953658482","FBA Inventory Fee","231102V3F","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-1.68","-1.68"
"6 Nov 2023 01:57:45 UTC","20953658482","FBA Inventory Fee","231102V3F","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-18.48","-18.48"
"7 Nov 2023 08:35:23 UTC","20953658482","FBA Inventory Fee","","","FBA storage fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-2.12","-2.12"
"8 Nov 2023 08:20:44 UTC","20953658482","FBA Inventory Fee","231101WZK","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-7.14","-7.14"
"8 Nov 2023 08:20:54 UTC","20953658482","FBA Inventory Fee","231101WZK","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8.40","-8.40"
"8 Nov 2023 08:20:58 UTC","20953658482","FBA Inventory Fee","231101WZK","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-8.40","-8.40"
"8 Nov 2023 08:21:14 UTC","20953658482","FBA Inventory Fee","231101WZK","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-6.72","-6.72"
"8 Nov 2023 08:21:21 UTC","20953658482","FBA Inventory Fee","231101WZK","","FBA Return Fee","","Amazon.co.uk","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","-7.14","-7.14"
